Order ID,Order Date,Customer Name,Country,State,City,Region,Segment,Ship Mode,Category,Sub-Category,Product Name,Discount,Sales,Profit,Quantity,Feedback?
AZ-2011-7043718,2011-02-02,Winnie Moss,Spain,Catalonia,Barcelona,South,Consumer,Economy Plus,Office Supplies,Art,"BIC Canvas, Water Color",0,57,1,1,TRUE
AZ-2011-7043718,2011-02-02,Winnie Moss,Spain,Catalonia,Barcelona,South,Consumer,Economy Plus,Office Supplies,Art,"Sanford Pencil Sharpener, Water Color",0,116,13,4,FALSE
AZ-2011-4696725,2011-02-02,Courtney Hancock,United Kingdom,England,London,North,Consumer,Priority,Technology,Phones,"Cisco Headset, Full Size",0.1,162,43,2,TRUE
BN-2011-7087921,2011-02-03,Max Ludwig,Sweden,Uppsala,Uppsala,North,Home Office,Economy Plus,Office Supplies,Art,"Boston Pencil Sharpener, Easy-Erase",0.5,91,-62,6,FALSE
AZ-2011-9107304,2011-02-09,Erin Gill,Spain,Catalonia,Barcelona,South,Home Office,Economy,Furniture,Bookcases,"Ikea Corner Shelving, Metal",0,368,15,3,TRUE
AZ-2011-9107304,2011-02-09,Erin Gill,Spain,Catalonia,Barcelona,South,Home Office,Economy,Office Supplies,Art,"Binney & Smith Sketch Pad, Blue",0,93,24,2,FALSE
AZ-2011-9107304,2011-02-09,Erin Gill,Spain,Catalonia,Barcelona,South,Home Office,Economy,Office Supplies,Binders,"Cardinal 3-Hole Punch, Clear",0,85,18,3,FALSE
AZ-2011-9107304,2011-02-09,Erin Gill,Spain,Catalonia,Barcelona,South,Home Office,Economy,Office Supplies,Fasteners,"Stockwell Rubber Bands, 12 Pack",0,48,5,3,FALSE
AZ-2011-9107304,2011-02-09,Erin Gill,Spain,Catalonia,Barcelona,South,Home Office,Economy,Office Supplies,Storage,"Smead Folders, Wire Frame",0.1,60,-3,4,FALSE
AZ-2011-7255147,2011-02-10,Lilian Macredie,Switzerland,Basel-Stadt,Basel,Central,Corporate,Economy,Furniture,Bookcases,"Sauder Library with Doors, Mobile",0,780,117,2,FALSE
AZ-2011-7255147,2011-02-10,Lilian Macredie,Switzerland,Basel-Stadt,Basel,Central,Corporate,Economy,Office Supplies,Art,"BIC Highlighters, Blue",0,19,8,1,FALSE
AZ-2011-5676694,2011-02-10,Jasmine Slater,Spain,Madrid,Coslada,South,Corporate,Economy,Furniture,Bookcases,"Dania Classic Bookcase, Traditional",0,822,353,2,FALSE
AZ-2011-5676694,2011-02-10,Jasmine Slater,Spain,Madrid,Coslada,South,Corporate,Economy,Office Supplies,Art,"Boston Highlighters, Easy-Erase",0,19,4,1,FALSE
AZ-2011-6048331,2011-02-14,Kayleigh Farmer,Spain,Valenciana,Elda,South,Consumer,Economy Plus,Office Supplies,Art,"BIC Markers, Blue",0,26,1,1,FALSE
AZ-2011-6048331,2011-02-14,Kayleigh Farmer,Spain,Valenciana,Elda,South,Consumer,Economy Plus,Office Supplies,Storage,"Eldon Box, Blue",0.1,9,2,1,FALSE
BN-2011-408191,2011-02-15,Sophie Franklin,Spain,Andalusia,Seville,South,Corporate,Economy,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",0.2,728,-82,2,TRUE
BN-2011-408191,2011-02-15,Sophie Franklin,Spain,Andalusia,Seville,South,Corporate,Economy,Furniture,Furnishings,"Rubbermaid Door Stop, Erganomic",0,127,19,3,TRUE
BN-2011-555099,2011-02-21,Jonathan Summons,Switzerland,Zurich,Zurich,Central,Consumer,Economy,Office Supplies,Fasteners,"Stockwell Thumb Tacks, Assorted Sizes",0,21,6,2,FALSE
BN-2011-555099,2011-02-21,Jonathan Summons,Switzerland,Zurich,Zurich,Central,Consumer,Economy,Office Supplies,Storage,"Smead Box, Single Width",0,32,8,3,TRUE
AZ-2011-7903656,2011-03-01,Angus De Groot,United Kingdom,England,Farnborough,North,Corporate,Economy,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",0,1314,342,3,TRUE
AZ-2011-7903656,2011-03-01,Angus De Groot,United Kingdom,England,Farnborough,North,Corporate,Economy,Furniture,Chairs,"Office Star Rocking Chair, Red",0,705,289,5,TRUE
AZ-2011-7903656,2011-03-01,Angus De Groot,United Kingdom,England,Farnborough,North,Corporate,Economy,Office Supplies,Art,"BIC Sketch Pad, Blue",0,195,35,4,TRUE
AZ-2011-7903656,2011-03-01,Angus De Groot,United Kingdom,England,Farnborough,North,Corporate,Economy,Office Supplies,Art,"Sanford Pens, Fluorescent",0,37,10,3,FALSE
AZ-2011-3190941,2011-03-09,Joshua Romero,Spain,Madrid,Madrid,South,Consumer,Priority,Office Supplies,Art,"BIC Pencil Sharpener, Water Color",0,97,37,3,FALSE
AZ-2011-3190941,2011-03-09,Joshua Romero,Spain,Madrid,Madrid,South,Consumer,Priority,Office Supplies,Envelopes,"Kraft Interoffice Envelope, Set of 50",0,94,21,2,TRUE
AZ-2011-3190941,2011-03-09,Joshua Romero,Spain,Madrid,Madrid,South,Consumer,Priority,Office Supplies,Storage,"Tenex Folders, Blue",0.1,104,27,5,FALSE
AZ-2011-3190941,2011-03-09,Joshua Romero,Spain,Madrid,Madrid,South,Consumer,Priority,Technology,Copiers,"Sharp Ink, Color",0,126,59,1,FALSE
AZ-2011-9147715,2011-03-10,Ryan Greenwood,United Kingdom,England,Sheffield,North,Consumer,Economy,Furniture,Chairs,"Harbour Creations Chairmat, Adjustable",0.5,74,-18,2,TRUE
AZ-2011-1278696,2011-03-10,Naomi Hancock,United Kingdom,England,Coventry,North,Corporate,Economy,Office Supplies,Fasteners,"OIC Thumb Tacks, Bulk Pack",0,28,10,2,FALSE
AZ-2011-7682838,2011-03-12,Joseph Ford,Switzerland,Basel-Stadt,Basel,Central,Corporate,Economy,Office Supplies,Envelopes,"Cameo Mailers, with clear poly window",0,167,7,4,TRUE
AZ-2011-7682838,2011-03-12,Joseph Ford,Switzerland,Basel-Stadt,Basel,Central,Corporate,Economy,Office Supplies,Storage,"Fellowes File Cart, Wire Frame",0,273,57,2,FALSE
BN-2011-1399750,2011-03-15,Wanda Wingert,United Kingdom,England,London,North,Consumer,Immediate,Furniture,Chairs,"Office Star Steel Folding Chair, Set of Two",0.1,254,73,3,TRUE
BN-2011-1399750,2011-03-15,Wanda Wingert,United Kingdom,England,London,North,Consumer,Immediate,Office Supplies,Art,"Binney & Smith Pens, Blue",0.1,11,4,1,TRUE
BN-2011-1399750,2011-03-15,Wanda Wingert,United Kingdom,England,London,North,Consumer,Immediate,Office Supplies,Art,"Sanford Highlighters, Easy-Erase",0.1,29,-2,2,TRUE
BN-2011-1399750,2011-03-15,Wanda Wingert,United Kingdom,England,London,North,Consumer,Immediate,Office Supplies,Binders,"Avery Binder, Recycled",0.1,48,19,4,TRUE
BN-2011-1399750,2011-03-15,Wanda Wingert,United Kingdom,England,London,North,Consumer,Immediate,Office Supplies,Fasteners,"Stockwell Paper Clips, Metal",0.1,24,8,2,TRUE
AZ-2011-7024596,2011-03-21,Kayla Tearle,Switzerland,Basel-Stadt,Basel,Central,Corporate,Economy,Office Supplies,Art,"Binney & Smith Pens, Fluorescent",0,26,0,2,TRUE
AZ-2011-5004051,2011-03-25,Charlie Wells,United Kingdom,England,Sheffield,North,Home Office,Economy Plus,Office Supplies,Art,"Stanley Highlighters, Blue",0.5,15,-9,2,TRUE
AZ-2011-5004051,2011-03-25,Charlie Wells,United Kingdom,England,Sheffield,North,Home Office,Economy Plus,Office Supplies,Fasteners,"Advantus Thumb Tacks, Metal",0.5,7,-4,1,TRUE
AZ-2011-8738856,2011-03-25,Anthony Stewart,United Kingdom,England,Wigan,North,Home Office,Priority,Office Supplies,Art,"Stanley Canvas, Easy-Erase",0,149,36,3,FALSE
BN-2011-9474783,2011-03-26,Benjamin Humphries,Switzerland,Zurich,Zurich,Central,Consumer,Economy,Office Supplies,Binders,"Ibico 3-Hole Punch, Recycled",0,92,26,3,TRUE
AZ-2011-5463300,2011-03-31,Toby Conway,Switzerland,Geneva,Geneva,Central,Consumer,Economy,Furniture,Furnishings,"Eldon Clock, Erganomic",0,110,37,2,TRUE
AZ-2011-5463300,2011-03-31,Toby Conway,Switzerland,Geneva,Geneva,Central,Consumer,Economy,Office Supplies,Art,"Stanley Pens, Easy-Erase",0,21,9,2,FALSE
AZ-2011-8060803,2011-03-31,Adam Bentley,United Kingdom,England,Newcastle upon Tyne,North,Consumer,Economy,Furniture,Bookcases,"Sauder Classic Bookcase, Pine",0,2624,446,6,FALSE
AZ-2011-8060803,2011-03-31,Adam Bentley,United Kingdom,England,Newcastle upon Tyne,North,Consumer,Economy,Office Supplies,Art,"Sanford Pens, Easy-Erase",0,34,8,3,FALSE
AZ-2011-8060803,2011-03-31,Adam Bentley,United Kingdom,England,Newcastle upon Tyne,North,Consumer,Economy,Office Supplies,Storage,"Rogers Lockers, Blue",0,423,30,2,TRUE
BN-2011-2967562,2011-03-31,Angus De Groot,Sweden,Vastra Gotaland,Gothenburg,North,Corporate,Economy,Furniture,Furnishings,"Advantus Photo Frame, Durable",0.6,40,-44,2,TRUE
AZ-2011-9409671,2011-04-04,Aaron Bootman,United Kingdom,Scotland,Edinburgh,North,Consumer,Economy,Office Supplies,Art,"Binney & Smith Markers, Fluorescent",0,51,14,2,FALSE
AZ-2011-9409671,2011-04-04,Aaron Bootman,United Kingdom,Scotland,Edinburgh,North,Consumer,Economy,Office Supplies,Labels,"Novimex Shipping Labels, Alphabetical",0,32,16,3,FALSE
AZ-2011-5817638,2011-04-06,Michelle Barrett,Switzerland,Geneva,Geneva,Central,Consumer,Economy,Office Supplies,Appliances,"KitchenAid Toaster, White",0,584,234,7,TRUE
BN-2011-5443120,2011-04-09,Kaitlyn Dorsch,Portugal,Coimbra,Coimbra,South,Corporate,Economy Plus,Office Supplies,Art,"Binney & Smith Canvas, Blue",0.5,205,-127,8,TRUE
BN-2011-5443120,2011-04-09,Kaitlyn Dorsch,Portugal,Coimbra,Coimbra,South,Corporate,Economy Plus,Office Supplies,Envelopes,"Cameo Business Envelopes, Security-Tint",0.5,17,-5,2,FALSE
AZ-2011-4173505,2011-04-12,Owen Howell,Spain,Castile and Leon,Ponferrada,South,Home Office,Economy Plus,Furniture,Chairs,"Novimex Steel Folding Chair, Red",0.2,66,19,1,FALSE
AZ-2011-4173505,2011-04-12,Owen Howell,Spain,Castile and Leon,Ponferrada,South,Home Office,Economy Plus,Office Supplies,Art,"Binney & Smith Highlighters, Fluorescent",0,54,4,3,TRUE
AZ-2011-4173505,2011-04-12,Owen Howell,Spain,Castile and Leon,Ponferrada,South,Home Office,Economy Plus,Office Supplies,Art,"Binney & Smith Markers, Easy-Erase",0,97,39,4,TRUE
AZ-2011-4173505,2011-04-12,Owen Howell,Spain,Castile and Leon,Ponferrada,South,Home Office,Economy Plus,Office Supplies,Binders,"Avery Binder Covers, Clear",0,21,5,2,TRUE
AZ-2011-4173505,2011-04-12,Owen Howell,Spain,Castile and Leon,Ponferrada,South,Home Office,Economy Plus,Office Supplies,Binders,"Cardinal Binder Covers, Economy",0,24,1,2,FALSE
BN-2011-6178410,2011-04-12,Molly Palmer,Sweden,Stockholm,Nacka,North,Corporate,Priority,Technology,Phones,"Nokia Headset, VoIP",0.5,73,-12,2,TRUE
AZ-2011-1546153,2011-04-14,Nicholas Carey,United Kingdom,England,Crewe,North,Consumer,Economy,Office Supplies,Art,"Binney & Smith Markers, Blue",0,169,32,7,FALSE
AZ-2011-1546153,2011-04-14,Nicholas Carey,United Kingdom,England,Crewe,North,Consumer,Economy,Technology,Machines,"Okidata Inkjet, Durable",0,625,6,2,TRUE
AZ-2011-804486,2011-04-20,Eve Spencer,United Kingdom,England,Lowestoft,North,Consumer,Economy,Office Supplies,Art,"BIC Highlighters, Water Color",0,66,12,3,FALSE
AZ-2011-804486,2011-04-20,Eve Spencer,United Kingdom,England,Lowestoft,North,Consumer,Economy,Office Supplies,Labels,"Smead File Folder Labels, Alphabetical",0,26,12,3,TRUE
AZ-2011-804486,2011-04-20,Eve Spencer,United Kingdom,England,Lowestoft,North,Consumer,Economy,Office Supplies,Paper,"Eaton Cards & Envelopes, Multicolor",0,186,89,4,TRUE
AZ-2011-804486,2011-04-20,Eve Spencer,United Kingdom,England,Lowestoft,North,Consumer,Economy,Technology,Phones,"Cisco Speaker Phone, VoIP",0,693,229,5,TRUE
AZ-2011-252578,2011-04-21,Sebastian McClelland,Spain,Valenciana,Elx,South,Consumer,Economy,Office Supplies,Binders,"Wilson Jones Index Tab, Economy",0,39,10,6,TRUE
AZ-2011-252578,2011-04-21,Sebastian McClelland,Spain,Valenciana,Elx,South,Consumer,Economy,Technology,Phones,"Samsung Speaker Phone, VoIP",0.1,444,89,4,FALSE
AZ-2011-5690380,2011-04-26,Jay Andrews,United Kingdom,England,Halifax,North,Consumer,Economy,Office Supplies,Storage,"Fellowes Folders, Single Width",0,159,65,6,TRUE
AZ-2011-5098375,2011-04-27,Mariam McMeckan,Spain,Catalonia,Rubi,South,Corporate,Economy,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Pine",0,719,21,5,TRUE
AZ-2011-5098375,2011-04-27,Mariam McMeckan,Spain,Catalonia,Rubi,South,Corporate,Economy,Office Supplies,Appliances,"KitchenAid Toaster, White",0,334,133,4,TRUE
AZ-2011-1372644,2011-04-29,Imogen Daly,Switzerland,Geneva,Geneva,Central,Consumer,Economy,Office Supplies,Labels,"Smead Round Labels, 5000 Label Set",0,15,1,2,TRUE
AZ-2011-7976569,2011-05-04,Toby Clunie,United Kingdom,England,London,North,Consumer,Economy,Technology,Machines,"Okidata Inkjet, Wireless",0.1,1413,503,5,FALSE
AZ-2011-3973701,2011-05-06,Eva Arnold,United Kingdom,England,Watford,North,Consumer,Priority,Office Supplies,Fasteners,"Accos Paper Clips, Assorted Sizes",0,34,0,3,TRUE
AZ-2011-5289752,2011-05-07,Lisa Watkins,Spain,Madrid,Alcobendas,South,Consumer,Economy Plus,Office Supplies,Envelopes,"Kraft Mailers, with clear poly window",0,82,20,2,FALSE
AZ-2011-5289752,2011-05-07,Lisa Watkins,Spain,Madrid,Alcobendas,South,Consumer,Economy Plus,Technology,Phones,"Samsung Speaker Phone, Full Size",0.1,224,35,2,FALSE
BN-2011-827720,2011-05-09,Ewan Hyde,Sweden,Stockholm,Stockholm,North,Consumer,Economy,Office Supplies,Art,"Sanford Pencil Sharpener, Fluorescent",0.5,26,-8,2,FALSE
BN-2011-7286308,2011-05-09,Patricia Smith,Portugal,Porto,Porto,South,Corporate,Priority,Furniture,Furnishings,"Eldon Frame, Durable",0.5,170,-82,3,FALSE
AZ-2011-7847155,2011-05-10,Denise Harris,United Kingdom,England,Dudley,North,Consumer,Economy,Furniture,Furnishings,"Deflect-O Door Stop, Duo Pack",0.3,92,8,3,FALSE
AZ-2011-7847155,2011-05-10,Denise Harris,United Kingdom,England,Dudley,North,Consumer,Economy,Office Supplies,Art,"Stanley Pencil Sharpener, Water Color",0,200,12,8,TRUE
BN-2011-8749099,2011-05-10,Phoebe Moore,Spain,Catalonia,Barcelona,South,Corporate,Immediate,Technology,Machines,"Epson Printer, White",0.1,470,-31,2,FALSE
BN-2011-8234232,2011-05-10,Erick Tanner,Sweden,Stockholm,Stockholm,North,Corporate,Economy Plus,Office Supplies,Art,"Boston Pencil Sharpener, Water Color",0.5,44,-32,3,FALSE
BN-2011-8234232,2011-05-10,Erick Tanner,Sweden,Stockholm,Stockholm,North,Corporate,Economy Plus,Office Supplies,Paper,"Enermax Parchment Paper, 8.5 x 11",0.5,39,-17,4,TRUE
BN-2011-8234232,2011-05-10,Erick Tanner,Sweden,Stockholm,Stockholm,North,Corporate,Economy Plus,Office Supplies,Storage,"Tenex Lockers, Wire Frame",0.5,610,-232,6,TRUE
AZ-2011-309750,2011-05-19,Milla Hollinworth,Spain,Castile-La Mancha,Toledo,South,Corporate,Economy,Office Supplies,Art,"Sanford Canvas, Easy-Erase",0,457,59,9,TRUE
AZ-2011-309750,2011-05-19,Milla Hollinworth,Spain,Castile-La Mancha,Toledo,South,Corporate,Economy,Office Supplies,Paper,"Green Bar Note Cards, Premium",0,238,86,8,FALSE
AZ-2011-309750,2011-05-19,Milla Hollinworth,Spain,Castile-La Mancha,Toledo,South,Corporate,Economy,Office Supplies,Paper,"Xerox Memo Slips, Multicolor",0,15,0,1,FALSE
AZ-2011-8973571,2011-05-26,Lily Dallachy,United Kingdom,England,Portsmouth,North,Corporate,Economy,Office Supplies,Storage,"Tenex Folders, Blue",0,46,15,2,FALSE
AZ-2011-8973571,2011-05-26,Lily Dallachy,United Kingdom,England,Portsmouth,North,Corporate,Economy,Office Supplies,Storage,"Tenex Lockers, Single Width",0,2859,171,14,TRUE
AZ-2011-8973571,2011-05-26,Lily Dallachy,United Kingdom,England,Portsmouth,North,Corporate,Economy,Office Supplies,Supplies,"Fiskars Letter Opener, High Speed",0,164,6,6,FALSE
AZ-2011-3247022,2011-05-26,Louis Wilson,United Kingdom,England,London,North,Consumer,Economy,Furniture,Bookcases,"Dania Floating Shelf Set, Metal",0.1,608,189,4,TRUE
AZ-2011-3247022,2011-05-26,Louis Wilson,United Kingdom,England,London,North,Consumer,Economy,Office Supplies,Art,"BIC Highlighters, Water Color",0.1,159,14,8,FALSE
AZ-2011-3247022,2011-05-26,Louis Wilson,United Kingdom,England,London,North,Consumer,Economy,Office Supplies,Binders,"Avery 3-Hole Punch, Clear",0.1,123,4,5,FALSE
AZ-2011-3247022,2011-05-26,Louis Wilson,United Kingdom,England,London,North,Consumer,Economy,Office Supplies,Storage,"Rogers File Cart, Single Width",0.1,255,45,2,FALSE
BN-2011-602308,2011-05-27,Mariam McMeckan,Sweden,Stockholm,Stockholm,North,Corporate,Priority,Office Supplies,Envelopes,"Cameo Clasp Envelope, Recycled",0.5,46,-38,11,FALSE
AZ-2011-5869323,2011-05-28,Elijah Sodeman,United Kingdom,England,Luton,North,Consumer,Economy,Technology,Accessories,"Logitech Mouse, Erganomic",0,54,12,2,FALSE
AZ-2011-1723003,2011-06-01,Paige Horsfall,Spain,Catalonia,Barcelona,South,Home Office,Economy,Office Supplies,Binders,"Cardinal Binding Machine, Durable",0,103,36,2,TRUE
AZ-2011-3515834,2011-06-01,Molly Crawford,United Kingdom,England,Wigan,North,Corporate,Priority,Office Supplies,Binders,"Avery Binder Covers, Economy",0,22,7,2,FALSE
AZ-2011-3846849,2011-06-01,Tyler Whitehead,United Kingdom,England,Warrington,North,Corporate,Economy Plus,Office Supplies,Storage,"Fellowes Shelving, Wire Frame",0,512,210,9,TRUE
AZ-2011-3846849,2011-06-01,Tyler Whitehead,United Kingdom,England,Warrington,North,Corporate,Economy Plus,Technology,Accessories,"Enermax Numeric Keypad, Bluetooth",0,806,185,14,TRUE
AZ-2011-3846849,2011-06-01,Tyler Whitehead,United Kingdom,England,Warrington,North,Corporate,Economy Plus,Technology,Accessories,"SanDisk Memory Card, Bluetooth",0,450,58,4,TRUE
AZ-2011-3020021,2011-06-02,Bianca Whitford,United Kingdom,England,London,North,Corporate,Economy,Office Supplies,Appliances,"KitchenAid Stove, Red",0.1,2053,410,4,TRUE
AZ-2011-3020021,2011-06-02,Bianca Whitford,United Kingdom,England,London,North,Corporate,Economy,Office Supplies,Paper,"SanDisk Memo Slips, 8.5 x 11",0.1,57,4,3,TRUE
AZ-2011-6122805,2011-06-04,Molly De Mole,United Kingdom,Scotland,Edinburgh,North,Corporate,Economy,Office Supplies,Storage,"Rogers Folders, Single Width",0,123,10,4,TRUE
AZ-2011-2179552,2011-06-06,Pamela Searles,United Kingdom,England,London,North,Home Office,Economy,Furniture,Tables,"Lesro Wood Table, Fully Assembled",0.1,1266,323,3,FALSE
AZ-2011-9876342,2011-06-06,Charlie Donnelly,United Kingdom,England,Colchester,North,Consumer,Economy,Office Supplies,Paper,"SanDisk Computer Printout Paper, 8.5 x 11",0,238,26,7,FALSE
AZ-2011-2118516,2011-06-07,Madeline Crooks,United Kingdom,England,Norwich,North,Consumer,Economy,Office Supplies,Paper,"Enermax Note Cards, 8.5 x 11",0,85,36,3,FALSE
AZ-2011-2118516,2011-06-07,Madeline Crooks,United Kingdom,England,Norwich,North,Consumer,Economy,Office Supplies,Paper,"Green Bar Cards & Envelopes, Premium",0,145,45,3,FALSE
AZ-2011-2118516,2011-06-07,Madeline Crooks,United Kingdom,England,Norwich,North,Consumer,Economy,Office Supplies,Supplies,"Elite Letter Opener, High Speed",0,53,22,2,FALSE
AZ-2011-4599404,2011-06-07,Susan Williams,United Kingdom,England,Southend-on-Sea,North,Home Office,Economy,Office Supplies,Art,"BIC Pencil Sharpener, Easy-Erase",0,146,7,5,TRUE
BN-2011-28993,2011-06-07,Louise Winter,United Kingdom,England,Worcester,North,Corporate,Priority,Furniture,Bookcases,"Dania Floating Shelf Set, Metal",0,506,192,3,TRUE
BN-2011-28993,2011-06-07,Louise Winter,United Kingdom,England,Worcester,North,Corporate,Priority,Furniture,Furnishings,"Advantus Clock, Duo Pack",0.3,144,-37,4,TRUE
BN-2011-28993,2011-06-07,Louise Winter,United Kingdom,England,Worcester,North,Corporate,Priority,Office Supplies,Envelopes,"Cameo Manila Envelope, Security-Tint",0,118,58,4,TRUE
AZ-2011-2875746,2011-06-08,Harry Ahmed,United Kingdom,England,Chatham,North,Consumer,Economy,Office Supplies,Envelopes,"Cameo Business Envelopes, Recycled",0,79,35,5,TRUE
AZ-2011-1584049,2011-06-08,Georgina Garner,Spain,Ceuta,Ceuta,South,Consumer,Economy,Furniture,Chairs,"Office Star Steel Folding Chair, Red",0.2,147,-15,2,FALSE
AZ-2011-1584049,2011-06-08,Georgina Garner,Spain,Ceuta,Ceuta,South,Consumer,Economy,Technology,Copiers,"Sharp Fax and Copier, Digital",0,336,114,2,FALSE
AZ-2011-1584049,2011-06-08,Georgina Garner,Spain,Ceuta,Ceuta,South,Consumer,Economy,Technology,Phones,"Samsung Office Telephone, with Caller ID",0.1,59,8,1,TRUE
AZ-2011-1174243,2011-06-10,Louis Scott,United Kingdom,England,London,North,Corporate,Priority,Furniture,Bookcases,"Safco Stackable Bookrack, Pine",0.1,541,156,4,TRUE
AZ-2011-1335871,2011-06-14,Ruby Patel,United Kingdom,England,London,North,Home Office,Economy,Office Supplies,Storage,"Tenex File Cart, Industrial",0.1,241,24,2,TRUE
AZ-2011-4229445,2011-06-14,Casey Forte,United Kingdom,England,Bolton,North,Consumer,Economy,Technology,Phones,"Nokia Smart Phone, Full Size",0,636,273,1,TRUE
AZ-2011-96343,2011-06-15,Peter Daly,Sweden,Halland,Halmstad,North,Consumer,Priority,Office Supplies,Storage,"Rogers Folders, Wire Frame",0.5,15,-12,1,TRUE
AZ-2011-96343,2011-06-15,Peter Daly,Sweden,Halland,Halmstad,North,Consumer,Priority,Office Supplies,Storage,"Tenex Shelving, Blue",0.5,82,-74,3,FALSE
AZ-2011-96343,2011-06-15,Peter Daly,Sweden,Halland,Halmstad,North,Consumer,Priority,Technology,Accessories,"Memorex Router, Bluetooth",0.5,739,-177,6,FALSE
AZ-2011-310635,2011-06-16,Susan Williams,United Kingdom,England,Wallasey,North,Home Office,Economy,Office Supplies,Binders,"Acco 3-Hole Punch, Durable",0,63,26,2,TRUE
AZ-2011-310635,2011-06-16,Susan Williams,United Kingdom,England,Wallasey,North,Home Office,Economy,Technology,Machines,"Panasonic Receipt Printer, Durable",0,605,266,5,TRUE
AZ-2011-7695869,2011-06-16,Lauren Knight,United Kingdom,England,London,North,Consumer,Economy Plus,Office Supplies,Storage,"Tenex Shelving, Industrial",0.1,99,10,2,FALSE
BN-2011-5228628,2011-06-16,Robert Zapata,United Kingdom,England,Southport,North,Consumer,Economy Plus,Furniture,Furnishings,"Advantus Frame, Black",0.3,156,-22,2,TRUE
BN-2011-8274717,2011-06-17,Marcus Griffin,United Kingdom,England,Wolverhampton,North,Home Office,Priority,Furniture,Furnishings,"Tenex Clock, Black",0.3,106,-8,3,FALSE
